,state,stateabb,year,binge_female,binge_male,binge_all,poverty
0,Alabama,AL,2019,10.5,9.4,10,25.4
1,Alabama,AL,2021,Happy,New,Year,25.8
2,Alaska,AK,2019,15.2,10.5,13.1,17.7
3,Alaska,AK,2021,,,,16.7
4,Arizona,AZ,2019,15.8,13.4,14.7,21.9
5,Arizona,AZ,2021,11.9,10.9,11.3,21.2
6,Arkansas,AR,2019,9.1,15.2,12.2,27.8
7,Arkansas,AR,2021,11.2,7.9,9.6,27.2
8,California,CA,2019,8.1,6.1,7.1,19.6
9,California,CA,2021,,,,20
10,Colorado,CO,2019,14.1,11.6,13.1,15.3
11,Colorado,CO,2021,13.6,14.4,13.8,15.8
12,Connecticut,CT,2019,14.4,11.5,12.9,16.6
13,Connecticut,CT,2021,8.5,5.6,7,16
14,Delaware,DE,2019,,,,17.3
15,Delaware,DE,2021,11.2,5.8,8.4,18.6
16,District of Columbia,DC,2019,8.9,7.7,8.5,20.1
17,District of Columbia,DC,2021,7.8,4.2,6.1,20.8
18,Florida,FL,2019,12.6,12,12.4,21.9
19,Florida,FL,2021,13.7,10.7,12.2,22
20,Georgia,GA,2019,6.4,5.6,6.2,22.3
21,Georgia,GA,2021,16.6,12.2,14.3,22.4
22,Guam,GU,2019,8.6,7.9,8.2,
23,Guam,GU,2021,,,,
24,Hawaii,HI,2019,13.2,8.1,10.9,14.6
25,Hawaii,HI,2021,9.2,7.6,8.3,16.7
26,Idaho,ID,2019,16,15.9,15.9,20.1
27,Idaho,ID,2021,13.3,9.6,11.7,19.4
28,Illinois,IL,2019,10.1,10.2,10.1,18.7
29,Illinois,IL,2021,15.2,8.1,11.6,19.2
30,Indiana,IN,2019,,,,20.9
31,Indiana,IN,2021,12.3,8.8,10.5,20.1
32,Iowa,IA,2019,10.2,12.2,11.2,18.4
33,Iowa,IA,2021,10.1,9.4,9.7,18.6
34,Kansas,KS,2019,18.6,19,18.8,19.5
35,Kansas,KS,2021,12,13.7,13.3,20.1
36,Kentucky,KY,2019,8.6,11.8,10.3,25.3
37,Kentucky,KY,2021,8.9,7,8,26.2
38,Louisiana,LA,2019,8.8,12.6,10.7,28.5
39,Louisiana,LA,2021,10.6,11.2,11,29.3
40,Maine,ME,2019,,,,18.6
41,Maine,ME,2021,,,,18.9
42,Maryland,MD,2019,12.6,10.9,12,14.7
43,Maryland,MD,2021,11,8.4,9.8,15.8
44,Massachusetts,MA,2019,14.9,15.1,15,15
45,Massachusetts,MA,2021,12.1,10.7,11.4,15.9
46,Michigan,MI,2019,12.3,10.1,11.2,21.1
47,Michigan,MI,2021,8.2,5.4,6.8,21.2
48,Minnesota,MN,2019,,,,15.1
49,Minnesota,MN,2021,,,,14.9
50,Mississippi,MS,2019,9.5,10.8,10.1,30.6
51,Mississippi,MS,2021,9.9,9.2,9.7,30.5
52,Missouri,MO,2019,16.6,13.4,15.2,21.6
53,Missouri,MO,2021,15.7,12.7,14.1,20.9
54,Montana,MT,2019,18.3,16.9,17.5,21.6
55,Montana,MT,2021,17.6,15.3,16.4,19.5
56,Nebraska,NE,2019,10.1,6.3,8.2,17.8
57,Nebraska,NE,2021,9.4,8.5,9.1,17.9
58,Nevada,NV,2019,14.8,12,13.3,21.2
59,Nevada,NV,2021,11.8,8.2,10.3,23.1
60,New Hampshire,NH,2019,14.8,13.8,14.4,12.9
61,New Hampshire,NH,2021,12,10.5,11.2,12
62,New Jersey,NJ,2019,16.6,14,15.3,15.1
63,New Jersey,NJ,2021,13.6,16.3,15.2,16
64,New Mexico,NM,2019,13.2,11,12.1,27.2
65,New Mexico,NM,2021,9.8,6.5,8.1,29.8
66,New York,NY,2019,13.9,11,12.7,19.9
67,New York,NY,2021,11.1,8.4,10.2,21.4
68,North Carolina,NC,2019,14,11.3,12.5,22.8
69,North Carolina,NC,2021,11.1,8.4,9.9,22.2
70,North Dakota,ND,2019,16.1,15.2,15.6,17.5
71,North Dakota,ND,2021,14.5,13.6,14,16.9
72,Ohio,OH,2019,14.5,12.3,13.4,21.1
73,Ohio,OH,2021,13.9,11.4,12.6,21.2
74,Oklahoma,OK,2019,13.4,13,13.2,24.8
75,Oklahoma,OK,2021,14.7,11.7,13.1,25.3
76,Oregon,OR,2019,,,,18.9
77,Oregon,OR,2021,,,,20.3
78,Pennsylvania,PA,2019,11,11.4,11.2,19.1
79,Pennsylvania,PA,2021,10.2,9.5,9.8,19.1
80,Puerto Rico,PR,2019,9.9,10.4,10.1,
81,Puerto Rico,PR,2021,7.7,5,6.3,
82,Rhode Island,RI,2019,11.2,10.2,10.7,16.8
83,Rhode Island,RI,2021,8.3,8.2,8.2,18.5
84,South Carolina,SC,2019,8.8,9.4,9.2,23
85,South Carolina,SC,2021,10,8.6,9.3,23.6
86,South Dakota,SD,2019,16,13.2,14.9,18.4
87,South Dakota,SD,2021,10.7,11.5,11.1,19.3
88,Tennessee,TN,2019,7.3,10.2,8.8,22.8
89,Tennessee,TN,2021,17.4,9.3,13.4,23
90,Texas,TX,2019,12.5,10.4,11.5,22.9
91,Texas,TX,2021,14.1,12.4,13.2,23.3
92,United States,US,2019,14.6,12.7,13.7,20.3
93,United States,US,2021,12.2,9,10.5,20.6
94,Utah,UT,2019,4.7,3.9,4.3,16.2
95,Utah,UT,2021,3.9,3.3,3.6,15.1
96,Vermont,VT,2019,15.6,14.8,15.2,17.4
97,Vermont,VT,2021,13.2,11.3,12.1,16.5
98,Virgin Islands,VI,2019,,,,
99,Virgin Islands,VI,2021,,,,
100,Virginia,VA,2019,13.4,11.9,12.7,16.1
101,Virginia,VA,2021,11.9,9.2,10.5,16.6
102,Washington,WA,2019,,,,15.8
103,Washington,WA,2021,,,,16.5
104,West Virginia,WV,2019,16.1,16.2,16.4,26.1
105,West Virginia,WV,2021,11.8,12.7,12.2,27.6
106,Wisconsin,WI,2019,,,,16.9
107,Wisconsin,WI,2021,,,,17.8
108,Wyoming,WY,2019,,,,16.9
109,Wyoming,WY,2021,,,,19.2
